Executing action: monitor
Running idf_monitor in directory C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2
Executing "C:\Users\avina\.espressif\python_env\idf5.5_py3.12_env\Scripts\python.exe C:\Users\avina\esp\v5.5.2\esp-idf\tools/idf_monitor.py -p COM13 -b 115200 --toolchain-prefix xtensa-esp32s3-elf- --target esp32s3 --revision 0 C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2\build\polar_logger_v2.elf C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2\build\bootloader\bootloader.elf --force-color -m 'C:\Users\avina\.espressif\python_env\idf5.5_py3.12_env\Scripts\python.exe' 'C:\Users\avina\esp\v5.5.2\esp-idf\tools\idf.py' '-p' 'COM13'"...
ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x15 (USB_UART_CHIP_RESET),boot:0x28 (SPI_FAST_FLASH_BOOT)
Saved PC:0x40379c86
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2820,len:0x468
load:0x403c8700,len:0xa84
load:0x403cb700,len:0x26a8
entry 0x403c8874
R,2.070,15.3,122
R,2.068,15.6,212
R,2.065,15.9,302
R,2.060,16.3,392
R,2.053,16.7,482
R,2.045,17.1,572
R,2.032,17.8,662
R,2.033,18.0,752
R,2.035,18.1,842
R,2.037,18.1,932
R,2.041,18.1,1012
R,2.045,18.0,1102
R,2.050,17.9,1192
R,2.049,17.9,1282
R,2.045,17.9,1372
R,2.039,17.9,1462
R,2.037,18.2,1552
R,2.042,18.4,1642
R,2.048,18.8,1732
R,2.053,19.1,1822
R,2.055,19.4,1902
R,2.057,19.4,1992
R,2.058,19.4,2082
R,2.059,19.3,2172
R,2.059,19.1,2262
R,2.059,19.0,2352
W,2.811,NAN,2374
R,2.057,18.8,2442
R,2.054,18.7,2532
R,2.052,18.8,2622
R,2.049,18.9,2712
R,2.048,19.1,2792
R,2.047,19.3,2882
W,2.810,NAN,2886
R,2.046,19.4,2972
R,2.045,19.6,3062
R,2.045,19.6,3152
R,2.044,19.4,3242
R,2.043,19.3,3332
W,3.045,NAN,3398
R,2.042,19.2,3422
R,2.044,19.2,3512
R,2.046,19.1,3602
R,2.049,18.9,3682
R,2.055,18.5,3772
R,2.077,17.1,3862
W,3.045,NAN,3911
R,2.091,16.4,3952
R,2.095,16.4,4042
R,2.096,16.5,4132
R,2.096,16.7,4222
R,2.085,17.3,4312
R,2.068,18.2,4402
W,2.810,NAN,4423
R,2.051,19.2,4492
R,2.038,20.0,4572
R,2.024,20.1,4662
R,2.019,20.2,4752
W,2.810,NAN,4831
R,2.014,20.2,4842
R,2.009,20.0,4932
R,2.004,19.8,5022
R,2.001,19.4,5112
R,2.000,18.4,5202
R,2.012,15.8,5292
W,2.810,NAN,5344
