Executing action: monitor
Running idf_monitor in directory C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2
Executing "C:\Users\avina\.espressif\python_env\idf5.5_py3.12_env\Scripts\python.exe C:\Users\avina\esp\v5.5.2\esp-idf\tools/idf_monitor.py -p COM13 -b 115200 --toolchain-prefix xtensa-esp32s3-elf- --target esp32s3 --revision 0 C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2\build\polar_logger_v2.elf C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2\build\bootloader\bootloader.elf --force-color -m 'C:\Users\avina\.espressif\python_env\idf5.5_py3.12_env\Scripts\python.exe' 'C:\Users\avina\esp\v5.5.2\esp-idf\tools\idf.py' '-p' 'COM13'"...
ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x15 (USB_UART_CHIP_RESET),boot:0x28 (SPI_FAST_FLASH_BOOT)
Saved PC:0x40379c86
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2820,len:0x468
load:0x403c8700,len:0xa84
load:0x403cb700,len:0x26a8
entry 0x403c8874
R,4.139,12.9,152
R,4.130,13.3,232
R,4.122,13.6,322
R,4.115,14.1,412
R,4.110,14.7,502
R,4.103,15.1,592
R,4.100,15.5,682
R,4.101,15.8,772
R,4.104,16.0,862
R,4.107,16.2,952
R,4.103,16.4,1042
R,4.100,16.5,1122
R,4.093,16.6,1212
R,4.084,16.7,1302
R,4.075,16.9,1392
R,4.066,17.0,1482
R,4.059,17.1,1572
R,4.053,17.2,1662
R,4.050,17.2,1752
R,4.047,17.2,1842
R,4.051,17.0,1932
R,4.059,16.8,2012
R,4.062,16.6,2102
R,4.064,16.5,2192
R,4.065,16.4,2282
W,4.216,NAN,2369
R,4.065,16.4,2369
R,4.068,16.3,2462
R,4.070,16.2,2552
R,4.068,16.0,2642
R,4.065,15.8,2732
R,4.061,15.5,2822
W,4.450,NAN,2880
R,4.060,15.4,2902
R,4.060,15.2,2992
R,4.059,15.0,3082
R,4.056,14.9,3172
R,4.052,14.8,3262
R,4.053,14.8,3352
W,4.450,NAN,3379
R,4.051,14.9,3442
R,4.048,15.1,3532
R,4.039,15.6,3622
R,4.030,15.9,3712
R,4.020,16.2,3792
R,4.012,16.4,3882
W,4.450,NAN,3905
R,3.997,16.8,3972
R,3.983,17.0,4062
R,3.969,17.2,4152
R,3.968,17.3,4242
R,3.966,17.4,4332
W,4.450,NAN,4402
R,3.964,17.4,4422
R,3.963,17.2,4512
R,3.964,17.2,4602
R,3.967,17.2,4682
R,3.972,17.3,4772
R,3.973,17.4,4862
W,4.450,NAN,4914
R,3.975,17.4,4952
R,3.976,17.5,5042
R,3.977,17.6,5132
R,3.978,17.8,5222
R,3.979,17.8,5312
W,4.216,NAN,5330
R,3.981,17.8,5402
R,3.980,17.7,5492
R,3.979,17.7,5572
R,3.978,17.7,5662
R,3.976,17.6,5752
W,4.216,NAN,5835
R,3.978,17.6,5842
R,3.976,17.5,5932
R,3.973,17.4,6022
R,3.968,17.3,6112
