Executing action: monitor
Running idf_monitor in directory C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2
Executing "C:\Users\avina\.espressif\python_env\idf5.5_py3.12_env\Scripts\python.exe C:\Users\avina\esp\v5.5.2\esp-idf\tools/idf_monitor.py -p COM13 -b 115200 --toolchain-prefix xtensa-esp32s3-elf- --target esp32s3 --revision 0 C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2\build\polar_logger_v2.elf C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2\build\bootloader\bootloader.elf --force-color -m 'C:\Users\avina\.espressif\python_env\idf5.5_py3.12_env\Scripts\python.exe' 'C:\Users\avina\esp\v5.5.2\esp-idf\tools\idf.py' '-p' 'COM13'"...
ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x15 (USB_UART_CHIP_RESET),boot:0x28 (SPI_FAST_FLASH_BOOT)
Saved PC:0x40379c86
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2820,len:0x468
load:0x403c8700,len:0xa84
load:0x403cb700,len:0x26a8
entry 0x403c8874
R,2.985,-3.8,112
R,2.979,-4.1,202
R,2.974,-4.5,292
R,2.969,-4.8,382
R,2.965,-5.0,472
R,2.963,-5.3,562
R,2.959,-5.5,652
R,2.962,-5.5,732
R,2.965,-5.6,822
R,2.968,-5.6,912
R,2.971,-5.7,1002
R,2.975,-5.6,1092
R,2.980,-5.5,1182
R,2.984,-5.4,1272
R,2.989,-5.2,1362
R,2.990,-5.2,1452
R,2.990,-5.2,1542
R,2.990,-5.3,1622
R,2.990,-5.3,1712
R,2.990,-5.3,1802
R,2.987,-5.5,1892
R,2.983,-5.6,1982
R,2.980,-5.6,2072
R,2.981,-5.3,2162
R,2.983,-4.9,2252
W,2.576,NAN,2331
R,2.985,-4.6,2342
R,2.987,-4.4,2432
R,2.991,-4.5,2512
R,2.996,-4.6,2602
R,2.998,-4.8,2692
R,3.002,-4.9,2782
W,2.811,NAN,2843
R,3.007,-4.9,2872
R,3.012,-4.9,2962
R,3.017,-4.8,3052
R,3.018,-5.0,3142
R,3.014,-5.3,3232
R,2.994,-6.1,3322
W,2.810,NAN,3355
R,2.981,-6.8,3402
R,2.967,-7.6,3492
R,2.962,-8.6,3582
R,2.975,-8.7,3672
R,2.993,-8.4,3762
R,2.996,-8.2,3852
W,3.045,NAN,3867
R,2.999,-8.1,3942
R,3.002,-8.0,4032
R,3.007,-7.9,4122
R,3.008,-7.7,4212
R,3.007,-7.4,4292
W,2.810,NAN,4379
R,3.001,-6.4,4380
R,2.995,-5.0,4472
R,2.988,-2.7,4562
R,2.988,-1.4,4652
R,2.977,-1.0,4742
R,2.970,-1.0,4832
W,2.810,NAN,4891
R,2.972,-1.1,4922
R,2.977,-1.4,5012
R,2.983,-1.7,5102
R,2.988,-1.9,5182
R,2.988,-2.2,5272
R,2.988,-2.5,5362
W,2.342,NAN,5403
R,2.988,-2.6,5452
R,2.989,-2.8,5542
R,2.990,-3.1,5632
R,2.995,-3.3,5722
R,2.999,-3.4,5812
R,3.003,-3.7,5902
W,2.342,NAN,5915
R,3.004,-3.9,5992
R,3.008,-4.1,6072
R,3.013,-4.4,6162
R,3.014,-4.7,6252
W,2.342,NAN,6324
R,3.014,-5.0,6342
R,3.016,-6.0,6432
R,3.014,-6.5,6522
R,3.008,-7.7,6612
R,3.006,-8.1,6702
R,3.005,-8.5,6792
W,2.342,NAN,6836
R,3.002,-8.7,6882
R,2.997,-9.0,6962
R,2.992,-9.1,7052
R,2.990,-9.1,7142
R,2.990,-9.0,7232
R,2.992,-8.9,7322
W,2.576,NAN,7349
R,2.996,-8.7,7412
R,2.995,-8.7,7502
R,2.995,-8.7,7592
R,2.996,-8.8,7682
R,2.999,-9.0,7772
R,3.002,-9.1,7852
W,2.108,NAN,7861
R,3.003,-9.2,7942
R,3.001,-9.0,8032
R,3.000,-8.9,8122
R,2.988,-8.4,8212
R,2.983,-8.0,8302
W,1.639,NAN,8373
R,2.971,-7.4,8392
R,2.959,-7.0,8482
R,2.962,-7.2,8572
R,2.965,-7.4,8662
R,2.966,-7.6,8742
R,2.967,-7.8,8832
W,0.234,NAN,8885
R,2.966,-7.9,8922
R,2.966,-8.0,9012
R,2.964,-8.1,9102
R,2.963,-8.2,9192
R,2.965,-8.2,9282
R,2.964,-8.3,9372
W,0.937,NAN,9397
R,2.962,-8.4,9462
R,2.959,-8.5,9552
R,2.958,-8.7,9632
R,2.957,-9.0,9722
R,2.953,-9.1,9812
R,2.950,-9.1,9902
W,1.874,NAN,9909
R,2.948,-9.0,9992
R,2.946,-9.1,10082
R,2.946,-9.0,10172
R,2.948,-9.0,10262
R,2.952,-9.0,10352
W,2.342,NAN,10421
R,2.953,-9.0,10432
R,2.956,-9.1,10522
R,2.955,-9.1,10612
R,2.956,-9.1,10702
R,2.955,-9.0,10792
W,2.576,NAN,10831
R,2.956,-8.8,10882
R,2.959,-8.6,10972
R,2.960,-8.3,11062
R,2.962,-8.1,11152
R,2.962,-8.0,11242
R,2.963,-7.9,11322
W,1.874,NAN,11343
R,2.965,-7.8,11412
R,2.967,-7.7,11502
R,2.971,-7.7,11592
R,2.974,-7.6,11682
R,2.975,-7.6,11772
R,2.977,-7.5,11862
W,2.810,NAN,11868
R,2.982,-7.4,11952
R,2.987,-7.3,12042
R,2.995,-7.2,12132
R,3.003,-7.0,12212
R,3.010,-7.1,12302
W,2.576,NAN,12366
R,3.015,-7.3,12392
R,3.016,-7.3,12482
R,3.016,-7.2,12572
R,3.015,-7.1,12662
R,3.016,-7.0,12752
R,3.018,-7.0,12842
W,2.811,NAN,12878
R,3.015,-7.1,12932
R,3.015,-7.2,13022
R,3.013,-7.3,13102
R,3.011,-7.5,13192
R,3.012,-7.5,13282
R,3.014,-7.4,13372
W,2.342,NAN,13405
R,3.021,-7.3,13462
R,3.026,-7.2,13552
R,3.030,-7.2,13642
R,3.033,-7.3,13732
