Executing action: monitor
Running idf_monitor in directory C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2
Executing "C:\Users\avina\.espressif\python_env\idf5.5_py3.12_env\Scripts\python.exe C:\Users\avina\esp\v5.5.2\esp-idf\tools/idf_monitor.py -p COM13 -b 115200 --toolchain-prefix xtensa-esp32s3-elf- --target esp32s3 --revision 0 C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2\build\polar_logger_v2.elf C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2\build\bootloader\bootloader.elf --force-color -m 'C:\Users\avina\.espressif\python_env\idf5.5_py3.12_env\Scripts\python.exe' 'C:\Users\avina\esp\v5.5.2\esp-idf\tools\idf.py' '-p' 'COM13'"...
ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x15 (USB_UART_CHIP_RESET),boot:0x28 (SPI_FAST_FLASH_BOOT)
Saved PC:0x40379c86
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2820,len:0x468
load:0x403c8700,len:0xa84
load:0x403cb700,len:0x26a8
entry 0x403c8874
R,2.186,26.6,152
R,2.183,26.7,232
R,2.183,26.9,322
R,2.182,27.0,412
R,2.182,27.0,502
R,2.182,27.0,592
R,2.182,26.8,682
R,2.182,26.8,772
R,2.182,26.9,862
R,2.183,26.9,952
R,2.183,26.9,1042
R,2.184,26.9,1122
R,2.183,26.8,1212
R,2.183,26.7,1302
R,2.182,26.7,1392
R,2.179,26.8,1482
R,2.178,26.9,1572
R,2.174,27.0,1662
R,2.170,27.0,1752
R,2.168,27.0,1842
R,2.162,27.0,1932
R,2.160,27.0,2012
R,2.157,27.0,2102
R,2.158,27.1,2192
R,2.157,27.3,2282
W,4.450,NAN,2327
R,2.156,27.5,2372
R,2.157,27.6,2462
R,2.160,27.7,2552
R,2.161,27.8,2642
R,2.161,27.8,2732
R,2.161,27.8,2822
W,4.684,NAN,2838
R,2.160,28.0,2902
R,2.159,28.1,2992
R,2.159,28.2,3082
R,2.156,28.4,3172
R,2.151,28.5,3262
W,4.450,NAN,3350
R,2.148,28.5,3350
R,2.145,28.6,3442
R,2.145,28.7,3532
R,2.144,28.7,3622
R,2.142,28.5,3712
R,2.142,28.3,3792
W,4.450,NAN,3862
R,2.140,28.0,3882
R,2.136,28.0,3972
R,2.130,28.1,4062
R,2.121,28.4,4152
R,2.114,28.7,4242
R,2.112,28.8,4332
W,4.684,NAN,4375
R,2.106,29.0,4422
R,2.101,28.9,4512
R,2.100,28.8,4602
R,2.099,28.7,4682
R,2.097,28.6,4772
R,2.099,28.5,4862
W,3.982,NAN,4886
R,2.101,28.5,4952
R,2.102,28.5,5042
R,2.102,28.6,5132
R,2.105,28.6,5222
R,2.106,28.2,5312
W,4.918,NAN,5398
R,2.107,27.7,5398
R,2.109,27.3,5492
R,2.110,27.0,5572
R,2.113,27.1,5662
R,2.118,27.5,5752
R,2.125,27.9,5842
W,5.621,NAN,5913
R,2.156,28.8,5932
R,2.182,29.5,6022
R,2.204,29.9,6112
R,2.206,30.0,6202
R,2.207,30.1,6292
R,2.205,30.3,6382
W,3.747,NAN,6423
R,2.201,30.5,6462
R,2.200,30.6,6552
R,2.200,30.5,6642
R,2.199,30.4,6732
R,2.198,30.2,6822
W,3.513,NAN,6832
R,2.197,29.9,6912
R,2.196,29.6,7002
R,2.195,29.2,7092
R,2.193,29.0,7182
R,2.191,29.0,7262
W,3.045,NAN,7344
R,2.188,28.9,7352
R,2.188,28.8,7442
R,2.190,28.7,7532
R,2.190,28.7,7622
R,2.189,28.8,7712
R,2.187,29.0,7802
W,3.279,NAN,7856
R,2.184,29.2,7892
R,2.182,29.3,7982
R,2.181,29.3,8072
R,2.182,29.4,8162
R,2.181,29.7,8242
R,2.185,30.6,8332
W,3.045,NAN,8367
R,2.197,30.6,8422
R,2.198,30.4,8512
R,2.198,30.2,8602
R,2.200,30.1,8692
R,2.201,30.0,8782
R,2.200,30.0,8872
W,3.045,NAN,8880
R,2.197,30.1,8962
R,2.196,30.1,9042
R,2.193,30.0,9132
R,2.192,29.9,9222
R,2.190,29.9,9312
W,3.747,NAN,9392
R,2.187,30.4,9402
R,2.183,30.9,9492
R,2.180,31.5,9582
R,2.178,31.9,9672
R,2.179,32.1,9762
R,2.179,32.4,9852
W,3.982,NAN,9904
R,2.175,32.8,9932
R,2.171,33.1,10022
R,2.166,33.4,10112
R,2.162,33.7,10202
R,2.158,33.9,10292
R,2.158,33.9,10382
W,3.982,NAN,10416
R,2.158,33.8,10472
