Executing action: monitor
Running idf_monitor in directory C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2
Executing "C:\Users\avina\.espressif\python_env\idf5.5_py3.12_env\Scripts\python.exe C:\Users\avina\esp\v5.5.2\esp-idf\tools/idf_monitor.py -p COM13 -b 115200 --toolchain-prefix xtensa-esp32s3-elf- --target esp32s3 --revision 0 C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2\build\polar_logger_v2.elf C:\Users\avina\OneDrive\Desktop\FYP\FYP\polar_logger_v2\build\bootloader\bootloader.elf --force-color -m 'C:\Users\avina\.espressif\python_env\idf5.5_py3.12_env\Scripts\python.exe' 'C:\Users\avina\esp\v5.5.2\esp-idf\tools\idf.py' '-p' 'COM13'"...
ESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x15 (USB_UART_CHIP_RESET),boot:0x28 (SPI_FAST_FLASH_BOOT)
Saved PC:0x40379c86
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2820,len:0x468
load:0x403c8700,len:0xa84
load:0x403cb700,len:0x26a8
entry 0x403c8874
R,2.103,-11.3,102
R,2.101,-11.1,192
R,2.099,-10.9,282
R,2.098,-10.9,372
R,2.097,-11.0,462
R,2.096,-11.3,552
R,2.096,-11.6,642
R,2.094,-11.9,732
R,2.092,-12.3,822
R,2.093,-12.6,902
R,2.100,-13.5,992
R,2.101,-12.9,1082
R,2.100,-12.7,1172
R,2.100,-12.5,1262
R,2.099,-12.5,1352
R,2.096,-12.5,1442
R,2.091,-12.5,1532
R,2.090,-12.4,1622
R,2.088,-12.2,1712
R,2.076,-11.8,1792
R,2.076,-11.6,1882
R,2.077,-11.6,1972
R,2.077,-11.5,2062
R,2.077,-11.4,2152
R,2.077,-11.2,2242
R,2.076,-11.3,2332
W,2.108,NAN,2421
R,2.077,-11.2,2421
R,2.078,-11.2,2512
R,2.080,-11.0,2602
R,2.082,-10.8,2682
R,2.080,-10.5,2772
W,2.108,NAN,2831
R,2.070,-9.6,2862
R,2.062,-9.0,2952
R,2.061,-8.8,3042
R,2.063,-8.9,3132
R,2.068,-9.1,3222
R,2.073,-9.4,3312
W,2.342,NAN,3343
R,2.075,-9.4,3402
R,2.076,-9.4,3492
R,2.077,-9.4,3572
R,2.076,-9.5,3662
R,2.072,-9.5,3752
R,2.064,-9.3,3842
W,2.810,NAN,3854
R,2.053,-9.2,3932
R,2.043,-8.9,4022
R,2.047,-6.8,4112
R,2.060,-4.5,4202
R,2.075,-2.8,4292
W,3.747,NAN,4367
R,2.082,-3.2,4382
R,2.079,-3.9,4462
R,2.070,-4.6,4552
R,2.052,-6.0,4642
R,2.038,-6.8,4732
R,2.015,-6.8,4822
W,3.747,NAN,4879
R,2.008,-6.9,4912
R,2.001,-6.8,5002
R,1.997,-6.8,5092
R,2.000,-8.6,5182
R,2.035,-12.4,5272
R,2.095,-15.3,5352
W,4.216,NAN,5390
R,2.139,-17.8,5442
R,2.124,-18.5,5532
R,2.096,-17.9,5622
R,2.080,-17.3,5712
R,2.072,-17.1,5802
R,2.068,-16.8,5892
W,4.216,NAN,5902
R,2.065,-16.5,5982
R,2.066,-16.3,6072
R,2.066,-16.1,6162
R,2.066,-15.9,6242
R,2.065,-15.8,6332
W,3.513,NAN,6414
R,2.063,-15.7,6422
R,2.061,-15.7,6512
R,2.058,-15.6,6602
R,2.055,-15.5,6692
R,2.060,-15.3,6782
W,3.045,NAN,6824
R,2.065,-15.2,6872
R,2.068,-15.1,6962
R,2.068,-15.0,7052
R,2.068,-14.9,7132
R,2.067,-14.7,7222
R,2.068,-14.4,7312
W,2.342,NAN,7336
R,2.067,-13.9,7402
R,2.066,-13.5,7492
R,2.060,-12.0,7582
R,2.057,-10.6,7672
R,2.057,-10.0,7762
W,2.342,NAN,7848
R,2.063,-9.7,7848
R,2.065,-9.7,7932
R,2.067,-9.7,8022
R,2.070,-9.8,8112
R,2.074,-9.9,8202
R,2.077,-10.0,8292
W,2.342,NAN,8360
R,2.080,-10.1,8382
R,2.082,-10.1,8472
R,2.082,-10.1,8562
R,2.079,-10.0,8652
R,2.074,-9.9,8742
R,2.071,-9.9,8822
W,2.342,NAN,8872
R,2.069,-10.0,8912
R,2.073,-10.3,9002
R,2.076,-10.7,9092
R,2.089,-11.5,9182
R,2.094,-11.4,9272
R,2.094,-11.4,9362
W,2.810,NAN,9384
R,2.095,-11.4,9452
R,2.095,-11.3,9542
R,2.092,-11.2,9632
R,2.090,-11.1,9712
R,2.090,-11.0,9802
R,2.091,-11.0,9892
W,2.810,NAN,9896
R,2.090,-11.0,9982
R,2.089,-11.1,10072
R,2.094,-11.1,10162
R,2.106,-11.3,10252
R,2.117,-11.4,10342
