R,4.156,2.8,0.0
R,4.157,3.0,90.0
R,4.157,3.1,180.0
R,4.163,3.3,270.0
R,4.168,3.3,360.0
R,4.171,3.2,440.0
R,4.175,3.0,530.0
R,4.177,2.7,620.0
R,4.184,1.9,710.0
R,4.192,1.1,800.0
R,4.200,0.4,890.0
R,4.208,0.0,980.0
R,4.209,-0.0,1070.0
R,4.208,-0.1,1160.0
R,4.207,-0.1,1250.0
R,4.205,-0.2,1340.0
R,4.207,-0.5,1420.0
R,4.211,-0.9,1510.0
R,4.216,-1.2,1600.0
R,4.221,-1.5,1690.0
R,4.227,-1.6,1780.0
R,4.222,-1.3,1870.0
R,4.221,-1.0,1960.0
R,4.215,-0.1,2050.0
R,4.221,0.1,2140.0
R,4.218,0.2,2220.0
W,1.874,NAN,2264.0
R,4.217,0.2,2310.0
R,4.214,0.2,2400.0
R,4.208,0.2,2490.0
R,4.201,0.2,2580.0
R,4.193,0.2,2670.0
R,4.187,0.2,2760.0
W,2.576,NAN,2776.0
R,4.184,0.1,2850.0
R,4.182,0.1,2940.0
R,4.182,0.2,3030.0
R,4.184,0.1,3110.0
R,4.185,0.1,3200.0
W,5.855,NAN,3288.0
R,4.186,0.0,3289.0
R,4.187,-0.1,3380.0
R,4.191,-0.2,3470.0
R,4.194,-0.4,3560.0
R,4.196,-0.4,3650.0
R,4.195,-0.5,3740.0
W,5.855,NAN,3800.0
R,4.194,-0.5,3830.0
R,4.193,-0.2,3920.0
R,4.194,0.2,4000.0
R,4.195,1.7,4090.0
R,4.202,4.4,4180.0
R,4.187,4.7,4270.0
W,5.855,NAN,4327.0
R,4.183,4.6,4360.0
R,4.172,4.5,4450.0
R,4.164,4.5,4540.0
R,4.162,4.6,4630.0
R,4.164,4.5,4720.0
W,5.855,NAN,4722.0
R,4.167,4.4,4810.0
R,4.177,3.3,4890.0
R,4.206,1.2,4980.0
R,4.236,-0.6,5070.0
R,4.188,1.6,5160.0
W,5.621,NAN,5233.0
R,4.143,3.6,5250.0
R,4.148,4.7,5340.0
R,4.169,5.0,5430.0
R,4.180,5.1,5520.0
R,4.184,5.1,5610.0
R,4.188,5.2,5700.0
W,5.855,NAN,5746.0
R,4.189,5.1,5780.0
R,4.190,5.2,5870.0
R,4.189,5.3,5960.0
R,4.187,5.3,6050.0
R,4.183,5.3,6140.0
R,4.181,5.2,6230.0
W,6.558,NAN,6258.0
R,4.178,5.0,6320.0
R,4.175,4.8,6410.0
R,4.171,4.7,6500.0
R,4.167,4.7,6580.0
R,4.162,4.8,6670.0
R,4.157,4.8,6760.0
W,7.261,NAN,6784.0
R,4.153,4.8,6850.0
R,4.149,4.8,6940.0
R,4.151,5.0,7030.0
R,4.155,5.3,7120.0
R,4.160,5.6,7210.0
W,6.089,NAN,7296.0
R,4.163,5.9,7296.0
R,4.163,5.9,7390.0
R,4.164,5.8,7480.0
R,4.166,5.6,7560.0
R,4.184,4.8,7650.0
R,4.231,3.1,7740.0
W,5.387,NAN,7794.0
R,4.271,1.8,7830.0
R,4.273,0.7,7920.0
R,4.260,0.3,8010.0
R,4.248,0.4,8100.0
R,4.241,0.7,8190.0
R,4.227,1.3,8280.0
W,5.387,NAN,8320.0
R,4.206,2.6,8370.0
R,4.214,2.9,8450.0
R,4.219,2.7,8540.0
R,4.216,2.6,8630.0
R,4.215,2.4,8720.0
R,4.214,2.3,8810.0
W,5.153,NAN,8818.0
R,4.213,2.1,8900.0
R,4.211,1.8,8990.0
R,4.207,1.6,9080.0
R,4.201,1.5,9170.0
W,5.153,NAN,9227.0
R,4.195,1.4,9250.0
R,4.189,1.4,9340.0
R,4.190,1.4,9430.0
R,4.193,1.7,9520.0
R,4.190,1.9,9610.0
R,4.189,2.1,9700.0
W,5.621,NAN,9740.0
R,4.197,3.0,9790.0
R,4.209,4.0,9880.0
R,4.222,4.9,9970.0
R,4.220,5.8,10060.0
R,4.208,7.0,10140.0
R,4.191,8.9,10230.0
W,5.387,NAN,10251.0
R,4.184,10.2,10320.0
R,4.175,11.3,10410.0
R,4.168,12.0,10500.0
R,4.171,11.6,10590.0
R,4.182,11.2,10680.0
W,5.621,NAN,10764.0
R,4.195,10.7,10770.0
R,4.209,10.3,10860.0
R,4.210,10.1,10950.0
R,4.200,9.7,11030.0
R,4.185,9.2,11120.0
R,4.166,8.8,11210.0
W,5.387,NAN,11276.0
R,4.142,8.4,11300.0
R,4.121,8.0,11390.0
R,4.121,8.0,11480.0
R,4.123,8.0,11570.0
R,4.127,8.0,11660.0
R,4.131,7.8,11750.0
W,5.621,NAN,11787.0
R,4.132,6.6,11840.0
R,4.139,4.2,11920.0
R,4.161,2.1,12010.0
R,4.171,0.8,12100.0
R,4.179,0.1,12190.0
R,4.163,-0.2,12280.0
W,5.621,NAN,12300.0
R,4.164,-0.3,12370.0
R,4.162,-0.2,12460.0
R,4.157,-0.2,12550.0
R,4.150,-0.0,12640.0
R,4.128,0.9,12730.0
R,4.086,3.0,12810.0
W,5.621,NAN,12811.0
R,4.053,4.6,12900.0
R,4.060,6.5,12990.0
R,4.090,7.7,13080.0
R,4.119,8.3,13170.0
