R,3.227,9.2,0.0
R,3.247,9.8,90.0
R,3.270,10.1,180.0
R,3.283,10.5,270.0
R,3.301,10.9,360.0
R,3.323,10.9,450.0
R,3.336,10.8,540.0
R,3.348,10.8,630.0
R,3.358,10.7,720.0
R,3.367,10.7,810.0
R,3.375,10.7,890.0
R,3.383,10.6,980.0
R,3.379,10.2,1070.0
R,3.377,9.9,1160.0
R,3.364,9.5,1250.0
R,3.350,9.0,1340.0
R,3.339,8.6,1430.0
R,3.332,8.2,1520.0
R,3.321,7.9,1610.0
R,3.310,7.7,1690.0
R,3.298,7.4,1780.0
R,3.289,7.2,1870.0
R,3.280,7.0,1960.0
R,3.272,6.8,2050.0
R,3.265,6.7,2140.0
R,3.257,6.5,2230.0
W,3.279,NAN,2267.0
R,3.251,6.4,2320.0
R,3.246,6.1,2410.0
R,3.243,5.9,2500.0
R,3.241,5.8,2580.0
R,3.239,5.7,2670.0
R,3.235,5.6,2760.0
W,3.279,NAN,2781.0
R,3.230,5.5,2850.0
R,3.220,4.9,2940.0
R,3.208,4.2,3030.0
R,3.197,3.6,3120.0
R,3.196,3.6,3210.0
W,3.279,NAN,3292.0
R,3.198,3.8,3300.0
R,3.207,4.1,3390.0
R,3.212,3.9,3470.0
R,3.220,3.5,3560.0
R,3.213,3.0,3650.0
W,3.513,NAN,3700.0
R,3.214,2.7,3740.0
R,3.215,2.5,3830.0
R,3.214,2.6,3920.0
R,3.212,2.6,4010.0
R,3.210,2.5,4100.0
R,3.209,2.3,4190.0
W,3.513,NAN,4212.0
R,3.207,2.0,4280.0
R,3.206,1.5,4360.0
R,3.202,-0.1,4450.0
R,3.201,-1.5,4540.0
R,3.197,-2.5,4630.0
R,3.195,-2.8,4720.0
W,3.279,NAN,4724.0
R,3.194,-3.1,4810.0
R,3.192,-3.3,4900.0
R,3.191,-3.6,4990.0
R,3.189,-3.6,5080.0
R,3.186,-3.4,5170.0
W,3.513,NAN,5236.0
R,3.183,-3.2,5250.0
R,3.179,-3.0,5340.0
R,3.163,-2.0,5430.0
R,3.146,-0.9,5520.0
R,3.123,0.7,5610.0
R,3.085,4.2,5700.0
W,3.747,NAN,5748.0
R,3.067,7.3,5790.0
R,3.056,9.5,5880.0
R,3.055,11.1,5970.0
R,3.057,11.9,6050.0
R,3.060,12.2,6140.0
R,3.065,12.4,6230.0
W,3.045,NAN,6260.0
R,3.070,12.5,6320.0
R,3.073,12.6,6410.0
R,3.075,12.7,6500.0
R,3.075,12.7,6590.0
R,3.077,12.7,6680.0
R,3.078,12.8,6770.0
W,3.747,NAN,6772.0
R,3.079,12.8,6860.0
R,3.080,12.8,6950.0
R,3.082,12.9,7030.0
R,3.082,12.9,7120.0
R,3.083,13.0,7210.0
W,3.747,NAN,7284.0
R,3.084,13.0,7300.0
R,3.085,13.0,7390.0
R,3.085,13.0,7480.0
R,3.085,13.0,7570.0
R,3.085,13.0,7660.0
W,3.513,NAN,7693.0
R,3.085,13.0,7750.0
R,3.085,13.0,7830.0
R,3.085,13.0,7920.0
R,3.085,13.0,8010.0
R,3.085,13.0,8100.0
R,3.085,13.0,8190.0
W,2.810,NAN,8205.0
R,3.085,13.0,8280.0
R,3.085,13.0,8370.0
R,3.085,13.0,8460.0
R,3.085,13.0,8550.0
R,3.085,13.0,8640.0
W,3.045,NAN,8718.0
R,3.085,13.0,8718.0
R,3.085,13.0,8810.0
R,3.085,13.0,8900.0
R,3.085,13.0,8990.0
R,3.085,13.0,9080.0
R,3.085,13.0,9170.0
W,3.279,NAN,9230.0
R,3.085,13.0,9260.0
R,3.085,13.0,9350.0
R,3.085,13.0,9440.0
R,3.085,13.0,9530.0
R,3.085,13.0,9610.0
R,3.085,13.0,9700.0
W,3.279,NAN,9755.0
R,3.085,13.0,9790.0
R,3.085,13.0,9880.0
R,3.085,13.0,9970.0
R,3.083,12.9,10060.0
R,3.080,12.7,10150.0
R,3.076,12.6,10240.0
W,3.747,NAN,10253.0
R,3.073,12.4,10330.0
R,3.070,12.3,10420.0
R,3.068,12.2,10500.0
R,3.064,11.9,10590.0
R,3.058,11.8,10680.0
W,3.513,NAN,10766.0
R,3.052,11.6,10766.0
R,3.045,11.5,10860.0
R,3.040,11.4,10950.0
R,3.034,11.3,11040.0
R,3.028,11.1,11130.0
R,3.023,10.9,11220.0
W,3.747,NAN,11280.0
R,3.017,10.7,11310.0
R,3.012,10.5,11390.0
R,3.006,10.5,11480.0
R,3.002,10.5,11570.0
R,2.998,10.5,11660.0
R,2.994,10.5,11750.0
W,3.747,NAN,11789.0
R,2.991,10.5,11840.0
R,2.991,10.3,11930.0
R,2.992,10.1,12020.0
R,2.993,10.0,12110.0
W,3.513,NAN,12199.0
R,2.995,9.7,12199.0
R,2.999,9.4,12280.0
R,3.005,9.1,12370.0
R,3.011,8.7,12460.0
R,3.017,8.5,12550.0
R,3.022,8.2,12640.0
W,3.045,NAN,12711.0
R,3.028,7.9,12730.0
R,3.033,7.6,12820.0
R,3.038,7.4,12910.0
R,3.046,7.1,13000.0
R,3.054,6.8,13090.0
R,3.063,6.5,13170.0
W,2.811,NAN,13223.0
R,3.071,6.2,13260.0
R,3.079,6.0,13350.0
R,3.086,5.7,13440.0
R,3.094,5.5,13530.0
R,3.101,5.2,13620.0
R,3.108,5.0,13710.0
W,3.279,NAN,13735.0
R,3.115,4.8,13800.0
R,3.122,4.6,13890.0
R,3.128,4.4,13980.0
R,3.134,4.2,14060.0
R,3.141,4.0,14150.0
R,3.146,3.9,14240.0
W,3.279,NAN,14247.0
R,3.152,3.7,14330.0
R,3.152,3.7,14420.0
R,3.152,3.7,14510.0
R,3.152,3.7,14600.0
R,3.150,3.9,14690.0
W,3.279,NAN,14759.0
R,3.146,4.0,14780.0
R,3.143,4.0,14870.0
R,3.140,4.0,14950.0
R,3.138,4.0,15040.0
R,3.134,3.9,15130.0
R,3.131,3.7,15220.0
W,3.279,NAN,15271.0
R,3.129,3.6,15310.0
R,3.129,3.5,15400.0
R,3.130,3.5,15490.0
R,3.132,3.4,15580.0
R,3.134,3.3,15670.0
R,3.135,3.3,15750.0
W,3.045,NAN,15783.0
R,3.135,3.3,15840.0
R,3.136,3.3,15930.0
R,3.136,3.3,16020.0
R,3.143,3.3,16110.0
W,3.279,NAN,16193.0
R,3.146,3.2,16200.0
R,3.148,3.0,16290.0
R,3.151,2.9,16380.0
R,3.154,2.7,16470.0
R,3.156,2.6,16560.0
R,3.159,2.5,16640.0
W,3.747,NAN,16704.0
R,3.160,2.2,16730.0
R,3.162,2.0,16820.0
R,3.164,1.8,16910.0
R,3.167,1.5,17000.0
R,3.170,1.3,17090.0
R,3.171,1.2,17180.0
W,3.747,NAN,17216.0
R,3.167,1.2,17270.0
R,3.160,1.2,17360.0
R,3.154,1.2,17450.0
R,3.149,1.1,17530.0
R,3.142,0.9,17620.0
R,3.140,0.9,17710.0
W,3.747,NAN,17731.0
R,3.139,0.8,17800.0
R,3.138,0.8,17890.0
R,3.137,0.7,17980.0
R,3.135,0.6,18070.0
R,3.131,0.3,18160.0
W,3.513,NAN,18241.0
R,3.127,-0.1,18250.0
R,3.115,-1.5,18340.0
R,3.107,-2.9,18420.0
R,3.101,-4.1,18510.0
R,3.098,-4.4,18600.0
R,3.097,-4.8,18690.0
W,3.279,NAN,18752.0
R,3.096,-5.2,18780.0
R,3.095,-5.5,18870.0
R,3.093,-5.7,18960.0
R,3.093,-6.0,19050.0
R,3.091,-5.8,19140.0
R,3.088,-5.5,19230.0
W,3.045,NAN,19265.0
R,3.084,-5.2,19310.0
R,3.080,-4.7,19400.0
R,3.075,-4.3,19490.0
R,3.072,-3.9,19580.0
R,3.070,-3.6,19670.0
R,3.070,-3.4,19760.0
W,3.279,NAN,19777.0
R,3.070,-3.2,19850.0
R,3.070,-2.9,19940.0
R,3.068,-2.7,20030.0
R,3.066,-2.4,20120.0
R,3.063,-2.1,20200.0
W,3.045,NAN,20288.0
R,3.062,-1.9,20288.0
R,3.061,-1.8,20380.0
R,3.059,-1.7,20470.0
R,3.058,-1.6,20560.0
R,3.055,-1.5,20650.0
W,3.279,NAN,20698.0
R,3.053,-1.4,20740.0
R,3.052,-1.3,20830.0
R,3.051,-1.3,20920.0
R,3.051,-1.2,21010.0
R,3.052,-1.1,21090.0
R,3.053,-0.8,21180.0
W,3.279,NAN,21211.0
R,3.056,-0.6,21270.0
R,3.059,-0.4,21360.0
R,3.059,-0.3,21450.0
R,3.058,-0.0,21540.0
R,3.055,0.3,21630.0
R,3.051,1.1,21720.0
W,3.279,NAN,21722.0
R,3.055,1.5,21810.0
R,3.057,1.6,21900.0
R,3.060,1.7,21980.0
R,3.065,1.9,22070.0
R,3.069,2.1,22160.0
W,3.513,NAN,22234.0
R,3.070,2.4,22250.0
R,3.069,2.8,22340.0
R,3.069,3.2,22430.0
R,3.071,3.5,22520.0
R,3.073,3.5,22610.0
R,3.074,3.6,22700.0
W,3.279,NAN,22746.0
R,3.073,3.7,22790.0
R,3.068,4.0,22870.0
R,3.061,4.3,22960.0
R,3.051,4.8,23050.0
R,3.041,5.2,23140.0
R,3.035,5.4,23230.0
W,3.513,NAN,23259.0
R,3.033,5.8,23320.0
R,3.032,6.2,23410.0
R,3.031,6.5,23500.0
R,3.031,6.9,23590.0
R,3.030,7.2,23680.0
R,3.030,7.5,23760.0
W,3.513,NAN,23770.0
R,3.028,7.7,23850.0
R,3.025,7.3,23940.0
R,3.023,6.7,24030.0
R,3.022,6.3,24120.0
R,3.024,5.8,24210.0
W,3.279,NAN,24283.0
R,3.028,5.5,24300.0
R,3.033,5.1,24390.0
R,3.038,4.7,24480.0
R,3.048,4.8,24570.0
R,3.058,5.1,24650.0
W,3.279,NAN,24692.0
R,3.080,6.1,24740.0
R,3.096,7.2,24830.0
R,3.125,9.5,24920.0
R,3.143,11.2,25010.0
R,3.153,12.6,25100.0
R,3.161,13.9,25190.0
W,3.279,NAN,25204.0
R,3.166,14.9,25280.0
R,3.169,15.8,25370.0
R,3.170,16.2,25460.0
R,3.171,16.0,25540.0
R,3.171,15.9,25630.0
W,3.279,NAN,25716.0
R,3.171,15.7,25716.0
R,3.170,15.6,25810.0
R,3.169,15.3,25900.0
R,3.167,15.1,25990.0
R,3.165,15.0,26080.0
R,3.164,14.9,26170.0
W,3.279,NAN,26228.0
R,3.164,14.8,26260.0
R,3.163,14.6,26340.0
R,3.161,14.4,26430.0
R,3.156,14.3,26520.0
R,3.152,14.1,26610.0
R,3.149,13.9,26700.0
W,3.279,NAN,26741.0
